18/01/2025 01:15 > PR Autorização4: Indisponível
18/01/2025 01:15 > PR Status Serviço4: Indisponível
18/01/2025 01:25 > PR Autorização4: Indisponível
18/01/2025 01:25 > PR Status Serviço4: Indisponível
18/01/2025 01:35 > PR Autorização4: Indisponível
18/01/2025 01:35 > PR Status Serviço4: Indisponível
18/01/2025 01:45 > PR Autorização4: Indisponível
18/01/2025 01:45 > PR Status Serviço4: Indisponível
18/01/2025 01:55 > PR Autorização4: Indisponível
18/01/2025 01:55 > PR Status Serviço4: Indisponível
18/01/2025 02:05 > PR Autorização4: Indisponível
18/01/2025 02:05 > PR Status Serviço4: Indisponível
18/01/2025 02:15 > PR Autorização4: Indisponível
18/01/2025 02:15 > PR Status Serviço4: Indisponível
18/01/2025 02:25 > PR Autorização4: Indisponível
18/01/2025 02:25 > PR Status Serviço4: Indisponível
18/01/2025 02:35 > PR Autorização4: Indisponível
18/01/2025 02:35 > PR Status Serviço4: Indisponível
18/01/2025 02:45 > PR Autorização4: Indisponível
18/01/2025 02:45 > PR Status Serviço4: Indisponível
18/01/2025 02:55 > PR Autorização4: Indisponível
18/01/2025 02:55 > PR Status Serviço4: Indisponível
18/01/2025 03:05 > PR Autorização4: Indisponível
18/01/2025 03:05 > PR Status Serviço4: Indisponível
18/01/2025 03:15 > PR Autorização4: Indisponível
18/01/2025 03:15 > PR Status Serviço4: Indisponível
18/01/2025 03:25 > PR Autorização4: Indisponível
18/01/2025 03:25 > PR Status Serviço4: Indisponível
18/01/2025 03:35 > PR Autorização4: Indisponível
18/01/2025 03:35 > PR Status Serviço4: Indisponível
18/01/2025 03:45 > PR Autorização4: Indisponível
18/01/2025 03:45 > PR Status Serviço4: Indisponível
18/01/2025 03:55 > PR Autorização4: Indisponível
18/01/2025 03:55 > PR Status Serviço4: Indisponível
18/01/2025 04:05 > PR Autorização4: Indisponível
18/01/2025 04:05 > PR Status Serviço4: Indisponível
18/01/2025 04:15 > PR Autorização4: Indisponível
18/01/2025 04:15 > PR Status Serviço4: Indisponível
18/01/2025 04:25 > PR Autorização4: Indisponível
18/01/2025 04:25 > PR Status Serviço4: Indisponível
18/01/2025 04:35 > PR Autorização4: Indisponível
18/01/2025 04:35 > PR Status Serviço4: Indisponível
18/01/2025 04:45 > PR Autorização4: Indisponível
18/01/2025 04:45 > PR Status Serviço4: Indisponível
18/01/2025 04:55 > PR Autorização4: Indisponível
18/01/2025 04:55 > PR Status Serviço4: Indisponível
18/01/2025 05:05 > PR Autorização4: Indisponível
18/01/2025 05:05 > PR Status Serviço4: Indisponível
18/01/2025 05:15 > PR Autorização4: Indisponível
18/01/2025 05:15 > PR Status Serviço4: Indisponível
18/01/2025 05:25 > PR Autorização4: Indisponível
18/01/2025 05:25 > PR Status Serviço4: Indisponível
18/01/2025 05:35 > PR Autorização4: Indisponível
18/01/2025 05:35 > PR Status Serviço4: Indisponível
18/01/2025 05:45 > PR Autorização4: Indisponível
18/01/2025 05:45 > PR Status Serviço4: Indisponível
18/01/2025 05:55 > PR Autorização4: Indisponível
18/01/2025 05:55 > PR Status Serviço4: Indisponível
18/01/2025 06:05 > PR Autorização4: Indisponível
18/01/2025 06:05 > PR Status Serviço4: Indisponível
18/01/2025 06:15 > PR Autorização4: Indisponível
18/01/2025 06:15 > PR Status Serviço4: Indisponível
